"Countries, territories and areas","Data Source","Beverage Types","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","All types","0.01","0.03","0.02","0.03","0.02","","","","",""
"Afghanistan","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","Beer","0.01","0.01","0.01","0.01","0.01","","","","",""
"Afghanistan","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","Wine","0","0.00","0.01","0.01","0.00","","","","",""
"Afghanistan","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","Spirits","0","0.02","0.00","0.01","0.01","","","","",""
"Afghanistan","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","Other alcoholic beverages","0","0","0","0","0","","","","",""
"Albania","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","5.79","5.56","5.46","5.17","4.98","4.42","4.33","3.96","4.51","3.92"
"Albania","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","2.21","2.13","1.94","1.79","1.65","1.38","1.45","1.29","1.49","1.33"
"Albania","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","1.06","0.97","1.06","1.00","1.02","0.82","0.58","0.40","0.80","0.42"
"Albania","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","2.41","2.35","2.35","2.28","2.22","2.14","2.22","2.18","2.13","2.08"
"Albania","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.12","0.11","0.11","0.10","0.09","0.09","0.09","0.09","0.09","0.09"
"Algeria","(WDT) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","All types","0.43","0.37","0.34","0.38","0.50","0.45","0.33","0.36","0.23","0.25"
"Algeria","(WDT) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","Beer","0.20","0.20","0.17","0.18","0.30","0.24","0.19","0.17","0.10","0.12"
"Algeria","(WDT) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","Wine","0.19","0.14","0.14","0.18","0.18","0.18","0.12","0.18","0.12","0.13"
"Algeria","(WDT) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","Spirits","0.04","0.02","0.03","0.02","0.02","0.03","0.02","0.01","0.01","0"
"Algeria","(WDT) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","Other alcoholic beverages","0.00","0","0.00","0","0","0","0","0","0","0"
"Andorra","avg of France and Spain consumption 2000-2018","All types","10.86","10.96","11.53","11.89","11.82","12.23","12.25","12.16","13.08","12.77"
"Andorra","avg of France and Spain consumption 2000-2018","Beer","3.20","3.15","3.31","3.34","3.23","3.16","3.19","3.03","3.13","3.04"
"Andorra","avg of France and Spain consumption 2000-2018","Wine","4.87","4.91","5.19","5.57","5.64","5.90","5.98","6.26","6.40","6.52"
"Andorra","avg of France and Spain consumption 2000-2018","Spirits","2.64","2.74","2.88","2.88","2.80","3.02","2.90","2.66","3.34","2.99"
"Andorra","avg of France and Spain consumption 2000-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Angola","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","6.12","5.19","4.68","4.02","3.49","2.41","2.20","2.08","1.94","1.47"
"Angola","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","3.95","3.27","2.91","2.73","2.40","1.44","1.32","1.31","1.19","0.90"
"Angola","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.90","1.36","1.24","1.20","1.01","0.77","0.69","0.57","0.56","0.38"
"Angola","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","1.24","0.55","0.51","0.07","0.07","0.18","0.18","0.18","0.18","0.18"
"Angola","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.03","0.03","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
