LOCATION,BEVERAGE TYPES,TIME,VALUE
Albania,Alltypes,1960,
Albania,Beer,1960,
Albania,Wine,1960,
Albania,Spirits,1960,
Albania,Alltypes,1961,
Albania,Beer,1961,
Albania,Wine,1961,
Albania,Spirits,1961,
Albania,Alltypes,1962,1.17
Albania,Beer,1962,0.49
Albania,Wine,1962,0.28
Albania,Spirits,1962,0.41
Albania,Alltypes,1963,0.91
Albania,Beer,1963,0.52
Albania,Wine,1963,0.19
Albania,Spirits,1963,0.2
Albania,Alltypes,1964,1.04
Albania,Beer,1964,0.52
Albania,Wine,1964,0.26
Albania,Spirits,1964,0.26
Albania,Alltypes,1965,1.04
Albania,Beer,1965,0.5
Albania,Wine,1965,0.21
Albania,Spirits,1965,0.33
Albania,Alltypes,1966,1.03
Albania,Beer,1966,0.51
Albania,Wine,1966,0.13
Albania,Spirits,1966,0.38
Albania,Alltypes,1967,1.17
Albania,Beer,1967,0.49
Albania,Wine,1967,0.19
Albania,Spirits,1967,0.49
Albania,Alltypes,1968,1.44
Albania,Beer,1968,0.53
Albania,Wine,1968,0.36
Albania,Spirits,1968,0.55
Albania,Alltypes,1969,1.73
Albania,Beer,1969,0.54
Albania,Wine,1969,0.47
Albania,Spirits,1969,0.73
Albania,Alltypes,1970,1.77
Albania,Beer,1970,0.47
Albania,Wine,1970,0.51
Albania,Spirits,1970,0.79
Albania,Alltypes,1971,1.2
Albania,Beer,1971,0.48
Albania,Wine,1971,0.13
Albania,Spirits,1971,0.59
Albania,Alltypes,1972,1.56
Albania,Beer,1972,0.52
Albania,Wine,1972,0.23
Albania,Spirits,1972,0.82
Albania,Alltypes,1973,1.59
Albania,Beer,1973,0.53
Albania,Wine,1973,0.34
Albania,Spirits,1973,0.72
Albania,Alltypes,1974,1.58
Albania,Beer,1974,0.52
Albania,Wine,1974,0.19
Albania,Spirits,1974,0.87
Albania,Alltypes,1975,1.35
Albania,Beer,1975,0.52
Albania,Wine,1975,0.14
Albania,Spirits,1975,0.69
Albania,Alltypes,1976,1.33
Albania,Beer,1976,0.5
Albania,Wine,1976,0.14
Albania,Spirits,1976,0.69
Albania,Alltypes,1977,1.37
Albania,Beer,1977,0.46
Albania,Wine,1977,0.16
Albania,Spirits,1977,0.74
Albania,Alltypes,1978,1.65
Albania,Beer,1978,0.5
Albania,Wine,1978,0.3
Albania,Spirits,1978,0.85
Albania,Alltypes,1979,1.4
Albania,Beer,1979,0.48
Albania,Wine,1979,0.16
Albania,Spirits,1979,0.76
Albania,Alltypes,1980,1.79
Albania,Beer,1980,0.44
Albania,Wine,1980,0.44
Albania,Spirits,1980,0.91
Albania,Otheralcoholicbeverages,1980,
Albania,Alltypes,1981,1.84
Albania,Beer,1981,0.46
Albania,Wine,1981,0.4
Albania,Spirits,1981,0.97
Albania,Otheralcoholicbeverages,1981,
Albania,Alltypes,1982,1.51
Albania,Beer,1982,0.45
Albania,Wine,1982,0.2
Albania,Spirits,1982,0.86
Albania,Otheralcoholicbeverages,1982,
Albania,Alltypes,1983,1.68
Albania,Beer,1983,0.45
Albania,Wine,1983,0.29
Albania,Spirits,1983,0.94
Albania,Otheralcoholicbeverages,1983,
Albania,Alltypes,1984,1.58
Albania,Beer,1984,0.43
Albania,Wine,1984,0.25
Albania,Spirits,1984,0.9
Albania,Otheralcoholicbeverages,1984,
Albania,Alltypes,1985,1.6
Albania,Beer,1985,0.51
Albania,Wine,1985,0.23
Albania,Spirits,1985,0.86
Albania,Otheralcoholicbeverages,1985,
Albania,Alltypes,1986,1.39
Albania,Beer,1986,0.57
Albania,Wine,1986,0.24
Albania,Spirits,1986,0.57
Albania,Otheralcoholicbeverages,1986,
Albania,Alltypes,1987,1.63
Albania,Beer,1987,0.58
Albania,Wine,1987,0.41
Albania,Spirits,1987,0.64
Albania,Otheralcoholicbeverages,1987,
Albania,Alltypes,1988,1.67
Albania,Beer,1988,0.56
Albania,Wine,1988,0.37
Albania,Spirits,1988,0.74
Albania,Otheralcoholicbeverages,1988,
Albania,Alltypes,1989,1.73
Albania,Beer,1989,0.52
Albania,Wine,1989,0.46
Albania,Spirits,1989,0.75
Albania,Otheralcoholicbeverages,1989,
Albania,Alltypes,1990,2.03
Albania,Beer,1990,0.42
Albania,Wine,1990,0.65
Albania,Spirits,1990,0.96
Albania,Otheralcoholicbeverages,1990,0.0
Albania,Alltypes,1991,1.28
Albania,Beer,1991,0.18
Albania,Wine,1991,0.61
Albania,Spirits,1991,0.49
Albania,Otheralcoholicbeverages,1991,0.0
Albania,Alltypes,1992,1.35
Albania,Beer,1992,0.09
Albania,Wine,1992,0.67
Albania,Spirits,1992,0.6
