"Countries, territories and areas",Beverage Types, 1979, 1978, 1977, 1976, 1975, 1974, 1973, 1972, 1971, 1970, 1969, 1968, 1967, 1966, 1965, 1964, 1963, 1962, 1961, 1960
Albania, All types,1.4,1.65,1.37,1.33,1.35,1.58,1.59,1.56,1.2,1.77,1.73,1.44,1.17,1.03,1.04,1.04,0.91,1.17,,
Albania, Beer,0.48,0.5,0.46,0.5,0.52,0.52,0.53,0.52,0.48,0.47,0.54,0.53,0.49,0.51,0.5,0.52,0.52,0.49,,
Albania, Wine,0.16,0.3,0.16,0.14,0.14,0.19,0.34,0.23,0.13,0.51,0.47,0.36,0.19,0.13,0.21,0.26,0.19,0.28,,
Albania, Spirits,0.76,0.85,0.74,0.69,0.69,0.87,0.72,0.82,0.59,0.79,0.73,0.55,0.49,0.38,0.33,0.26,0.2,0.41,,
Austria, All types,13.4,14.0,14.2,14.3,14.1,14.5,14.6,14.2,13.6,13.4,13.0,13.2,13.1,12.4,11.6,10.7,9.8,9.7,9.31,8.91
Austria, Beer,6.5,6.7,6.8,6.8,6.7,7.1,7.0,7.0,6.6,6.5,6.4,6.8,6.5,6.5,6.0,6.0,5.5,5.2,4.9,4.7
Austria, Wine,5.2,5.1,5.3,5.4,5.2,5.3,5.5,5.4,5.4,5.2,5.0,5.0,4.8,4.7,4.0,3.1,3.0,2.9,3.01,2.81
Austria, Spirits,1.7,2.2,2.1,2.1,2.2,2.1,2.1,1.8,1.6,1.7,1.6,1.4,1.8,1.2,1.6,1.6,1.3,1.6,1.4,1.4
Belgium, All types,13.56,13.4,13.47,13.6,13.46,13.35,13.81,13.0,12.62,12.43,11.46,11.15,10.73,10.3,10.76,10.48,9.88,,,
Belgium, Beer,7.9,7.92,8.28,8.8,8.38,8.58,9.25,8.7,8.49,8.66,8.29,7.99,7.94,7.65,7.67,7.93,7.64,,,
Belgium, Wine,2.82,2.47,2.52,2.31,2.52,2.32,2.25,2.23,2.08,2.04,1.75,1.72,1.53,1.4,1.62,1.33,1.01,,,
Belgium, Spirits,2.84,3.01,2.67,2.49,2.56,2.45,2.31,2.07,2.05,1.73,1.42,1.44,1.26,1.25,1.47,1.22,1.23,,,
Bulgaria, All types,10.91,11.27,10.52,10.86,10.15,10.22,10.14,9.18,8.88,8.44,8.71,9.01,7.84,7.31,7.25,6.52,7.25,,,
Bulgaria, Beer,3.73,3.64,3.49,3.32,3.1,3.09,2.87,2.6,2.46,2.36,2.13,1.86,1.74,1.53,1.38,1.15,1.22,,,
Bulgaria, Wine,3.17,3.69,3.32,3.77,3.32,3.7,3.88,3.27,3.28,2.98,3.46,4.27,3.39,3.23,3.52,3.09,3.5,,,
Bulgaria, Spirits,4.01,3.94,3.71,3.77,3.73,3.43,3.39,3.31,3.14,3.1,3.12,2.88,2.71,2.55,2.35,2.28,2.53,,,
Czechia, All types,13.17,14.64,14.2,13.62,13.33,13.11,12.95,12.66,11.57,11.9,11.42,10.61,10.64,10.49,10.18,9.36,9.06,9.12,9.0,
Czechia, Beer,6.73,7.46,7.24,7.41,7.31,7.46,7.54,7.57,7.1,6.86,6.77,6.62,6.81,6.76,6.52,6.1,6.15,5.87,5.65,
Czechia, Wine,2.22,2.5,2.45,2.34,2.31,2.16,2.04,2.04,2.12,2.04,1.85,1.69,1.97,2.07,2.25,1.99,1.58,1.81,2.0,
Czechia, Spirits,4.22,4.68,4.51,3.87,3.71,3.49,3.37,3.05,2.35,3.0,2.8,2.3,1.86,1.66,1.41,1.27,1.33,1.44,1.35,
Denmark, All types,11.41,10.91,11.43,11.84,11.47,10.68,10.89,10.1,9.4,9.58,8.86,8.06,7.89,7.67,7.0,7.23,6.65,6.56,6.54,
Denmark, Beer,7.65,7.48,7.46,7.65,7.59,7.25,7.37,7.03,6.6,7.07,6.67,6.16,5.98,5.81,5.15,5.51,5.18,5.05,5.03,
Denmark, Wine,1.94,1.71,1.65,1.77,1.63,1.38,1.53,1.07,0.96,0.85,0.73,0.63,0.63,0.6,0.59,0.55,0.48,0.56,0.53,
Denmark, Spirits,1.82,1.72,2.32,2.42,2.25,2.05,1.99,2.0,1.84,1.66,1.46,1.27,1.28,1.26,1.26,1.17,0.99,0.95,0.99,
Finland, All types,7.84,7.89,8.15,8.09,8.0,8.42,7.38,6.8,6.39,5.84,5.72,3.93,3.63,3.46,3.28,3.1,3.07,3.02,2.91,
Finland, Beer,3.21,3.15,3.18,3.12,3.11,3.24,3.09,3.04,2.78,2.69,2.86,1.28,1.01,0.88,0.78,0.69,0.64,0.61,0.57,
Finland, Wine,0.91,0.92,0.88,0.92,0.99,1.16,0.92,0.76,0.76,0.7,0.65,0.65,0.62,0.58,0.53,0.49,0.42,0.37,0.32,
Finland, Spirits,1.73,1.77,1.9,1.87,1.81,1.87,1.56,1.39,1.32,1.14,1.03,0.93,0.93,0.93,0.91,0.89,0.93,0.95,0.94,
Finland, Other alcoholic beverages,1.99,2.05,2.19,2.17,2.09,2.15,1.81,1.61,1.53,1.31,1.18,1.07,1.07,1.07,1.06,1.03,1.08,1.09,1.08,
France, All types,19.4,19.88,20.74,20.84,21.12,21.15,21.4,21.2,21.44,21.77,22.15,22.48,23.05,23.32,23.37,23.96,24.63,24.6,26.04,
France, Beer,2.94,2.94,3.01,3.19,2.95,2.91,2.94,2.67,2.78,2.75,2.71,2.67,2.73,2.71,2.63,2.76,2.47,1.82,2.53,
France, Wine,13.19,13.75,14.64,14.59,14.99,15.09,15.34,15.58,15.77,15.96,16.48,16.94,16.97,17.23,17.39,17.91,18.94,19.71,20.56,
France, Spirits,3.27,3.19,3.09,3.06,3.18,3.15,3.12,2.95,2.89,3.06,2.96,2.87,3.35,3.38,3.35,3.29,3.22,3.07,2.95,
Germany, All types,16.67,16.27,16.44,17.23,16.84,15.92,16.74,16.25,16.54,15.53,14.98,14.04,13.51,13.59,14.0,13.71,12.85,12.05,11.03,
Germany, Beer,8.93,9.02,9.29,9.51,9.42,9.45,9.49,9.43,9.38,9.14,8.99,8.34,8.21,8.14,7.88,7.85,7.26,6.86,6.47,
Germany, Wine,3.59,3.54,3.51,3.57,3.55,3.07,3.34,3.02,2.85,2.49,2.43,2.37,2.42,2.41,2.6,2.77,2.36,2.15,1.86,
Germany, Spirits,4.15,3.72,3.65,4.16,3.87,3.4,3.91,3.8,4.31,3.9,3.55,3.34,2.88,3.04,3.52,3.08,3.22,3.04,2.7,
Greece, All types,11.59,11.39,10.92,11.01,10.88,10.88,10.67,10.43,10.39,10.33,10.18,10.15,10.09,10.1,9.99,9.82,9.67,,,
Greece, Beer,1.99,1.7,1.38,1.9,1.27,2.11,2.55,2.54,0.98,2.48,2.46,2.4,2.4,2.45,2.45,2.26,2.33,,,
Greece, Wine,6.16,5.79,6.02,4.99,5.69,5.21,4.71,4.5,5.74,4.49,4.39,4.12,4.56,4.13,4.24,4.41,4.47,,,
Greece, Spirits,3.44,3.9,3.52,4.12,3.92,3.56,3.41,3.39,3.67,3.36,3.33,3.63,3.13,3.52,3.3,3.15,2.87,,,
Hungary, All types,15.59,16.06,15.67,14.72,13.79,12.86,12.82,12.73,12.79,12.4,11.77,10.64,10.42,9.58,9.53,10.21,9.14,9.26,9.02,
Hungary, Beer,5.5,5.47,5.1,4.81,4.54,4.19,3.86,3.6,3.79,3.75,3.44,3.27,3.2,3.0,2.88,2.78,2.71,2.61,2.59,
Hungary, Wine,4.78,4.73,4.73,4.89,4.72,4.77,5.31,5.3,5.33,5.24,5.37,4.88,4.83,4.32,4.7,4.94,4.25,4.59,4.3,
