"Countries, territories and areas",Beverage Types,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,All types,5.79,5.56,5.46,5.17,4.98,4.42,4.33,3.96,4.51,3.92
Albania,Beer,2.21,2.13,1.94,1.79,1.65,1.38,1.45,1.29,1.49,1.33
Albania,Wine,1.06,0.97,1.06,1.0,1.02,0.82,0.58,0.4,0.8,0.42
Albania,Spirits,2.41,2.35,2.35,2.28,2.22,2.14,2.22,2.18,2.13,2.08
Albania,Other alcoholic beverages,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09
Andorra,All types,10.86,10.96,11.53,11.89,11.82,12.23,12.25,12.16,13.08,12.77
Andorra,Beer,3.2,3.15,3.31,3.34,3.23,3.16,3.19,3.03,3.13,3.04
Andorra,Wine,4.87,4.91,5.19,5.57,5.64,5.9,5.98,6.26,6.4,6.52
Andorra,Spirits,2.64,2.74,2.88,2.88,2.8,3.02,2.9,2.66,3.34,2.99
Andorra,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,All types,11.87,12.03,12.54,12.58,12.14,12.17,12.31,12.09,12.35,13.35
Austria,Beer,6.11,6.37,6.39,6.41,6.43,6.68,6.69,6.58,6.59,6.85
Austria,Wine,4.0,3.89,4.38,4.39,4.05,3.82,4.06,3.95,4.2,4.33
Austria,Spirits,1.76,1.77,1.78,1.78,1.67,1.67,1.55,1.56,1.56,2.16
Austria,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,All types,13.98,14.58,13.91,12.61,11.19,12.08,11.17,11.78,10.74,12.92
Belarus,Beer,2.33,2.46,2.29,1.95,1.56,1.33,3.2,2.73,1.15,1.19
Belarus,Wine,0.61,0.65,0.62,0.59,0.56,0.22,0.49,0.41,0.37,0.17
Belarus,Spirits,6.12,6.32,6.0,5.25,4.16,3.64,3.8,4.75,4.75,5.03
Belarus,Other alcoholic beverages,4.92,5.15,5.0,4.82,4.91,6.89,3.68,3.89,4.47,6.54
Belgium,All types,10.1,10.51,13.43,10.94,12.21,12.05,11.28,11.29,11.01,11.21
Belgium,Beer,4.94,5.04,5.21,5.6,6.05,5.93,6.12,6.07,6.07,6.15
Belgium,Wine,3.66,3.83,4.27,4.37,4.21,4.24,4.05,4.24,3.98,4.05
Belgium,Spirits,1.45,1.59,3.97,0.99,1.97,1.83,1.07,0.94,0.93,1.0
Belgium,Other alcoholic beverages,0.05,0.06,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,All types,4.69,5.03,5.03,4.72,4.5,4.38,4.29,4.08,4.11,3.87
Bosnia and Herzegovina,Beer,3.53,3.82,3.79,3.6,3.38,3.08,2.94,2.73,2.69,2.64
Bosnia and Herzegovina,Wine,0.46,0.47,0.49,0.38,0.36,0.34,0.34,0.32,0.41,0.22
Bosnia and Herzegovina,Spirits,0.58,0.6,0.6,0.59,0.62,0.83,0.88,0.89,0.87,0.87
Bosnia and Herzegovina,Other alcoholic beverages,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14
Bulgaria,All types,10.53,10.73,10.66,10.18,10.22,10.7,10.92,10.8,11.07,10.26
Bulgaria,Beer,4.02,4.4,4.41,3.96,3.55,3.54,3.53,3.52,3.51,3.5
Bulgaria,Wine,1.63,1.49,1.48,1.37,1.68,1.8,2.51,2.34,2.74,2.05
Bulgaria,Spirits,4.83,4.79,4.73,4.8,4.92,5.3,4.83,4.88,4.77,4.65
Bulgaria,Other alcoholic beverages,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06
Croatia,All types,11.11,11.36,11.36,10.98,10.72,12.42,12.99,13.88,13.69,13.24
Croatia,Beer,4.74,5.02,5.12,4.98,4.85,4.94,5.14,5.04,5.26,5.15
Croatia,Wine,4.75,4.71,4.62,4.37,4.25,5.36,5.71,6.68,6.23,5.93
Croatia,Spirits,1.23,1.24,1.24,1.27,1.27,1.77,1.79,1.81,1.84,1.81
Croatia,Other alcoholic beverages,0.39,0.39,0.38,0.36,0.35,0.35,0.35,0.35,0.35,0.35
Czechia,All types,13.43,13.65,13.83,13.58,13.66,13.42,13.87,13.77,13.64,13.9
Czechia,Beer,7.01,7.29,7.42,7.43,7.65,7.53,7.61,7.55,7.44,7.63
Czechia,Wine,2.61,2.58,2.59,2.41,2.36,2.32,2.3,2.3,2.31,2.31
Czechia,Spirits,3.81,3.77,3.82,3.74,3.65,3.57,3.95,3.92,3.89,3.96
Czechia,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,All types,10.08,10.7,10.99,11.02,11.26,11.26,11.53,11.32,11.54,11.68
Denmark,Beer,4.13,4.51,4.76,4.92,5.05,5.1,5.47,5.47,5.56,5.75
Denmark,Wine,4.38,4.47,4.41,4.34,4.44,4.32,4.47,4.43,4.59,4.52
Denmark,Spirits,1.52,1.66,1.74,1.69,1.78,1.85,1.6,1.42,1.39,1.41
Denmark,Other alcoholic beverages,0.05,0.06,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,All types,14.66,16.61,17.47,17.87,16.58,15.52,11.64,12.16,10.1,9.03
Estonia,Beer,5.07,5.37,5.85,6.5,6.48,6.04,4.75,4.99,4.62,4.19
Estonia,Wine,1.38,1.52,1.26,1.44,1.5,1.47,0.82,0.8,0.98,1.05
Estonia,Spirits,6.52,7.69,8.36,7.87,6.62,6.13,4.81,5.05,3.92,3.22
Estonia,Other alcoholic beverages,1.68,2.04,2.0,2.06,1.98,1.88,1.26,1.32,0.58,0.57
Finland,All types,9.96,10.26,10.45,10.15,9.95,9.89,9.31,9.25,8.94,8.88
Finland,Beer,4.54,4.62,4.7,4.57,4.59,4.57,4.37,4.43,4.37,4.27
Finland,Wine,1.85,1.85,1.82,1.55,1.47,1.42,1.43,1.31,1.19,1.07
Finland,Spirits,1.62,1.75,1.87,2.86,2.82,2.79,2.38,2.37,2.32,2.33
Finland,Other alcoholic beverages,1.95,2.04,2.06,1.17,1.08,1.11,1.13,1.14,1.06,1.21
France,All types,12.66,12.53,12.95,13.05,12.88,13.14,13.45,13.92,14.15,13.92
France,Beer,2.25,2.18,2.33,2.4,2.31,2.24,2.29,2.25,2.36,2.31
France,Wine,7.41,7.33,7.6,7.75,7.65,7.94,8.17,8.52,8.62,8.54
France,Spirits,2.7,2.72,2.72,2.7,2.62,2.67,2.65,2.74,2.76,2.66
France,Other alcoholic beverages,0.3,0.3,0.3,0.2,0.3,0.29,0.34,0.41,0.41,0.41
Germany,All types,11.23,11.37,11.51,11.76,11.68,11.83,11.92,12.25,12.46,12.91
Germany,Beer,6.34,6.35,6.48,6.73,6.62,6.29,6.43,6.67,6.71,7.16
Germany,Wine,3.11,3.24,3.24,3.13,3.13,3.06,3.14,3.14,3.21,3.18
Germany,Spirits,2.15,2.16,2.16,2.28,2.29,2.48,2.35,2.44,2.54,2.57
Germany,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,All types,8.32,8.73,8.89,8.68,9.15,9.1,8.91,8.22,8.75,8.6
Greece,Beer,2.23,2.36,2.34,2.23,2.18,2.19,2.22,2.35,2.33,2.38
Greece,Wine,3.81,4.03,4.17,4.06,4.56,4.21,3.93,3.16,3.79,3.69
Greece,Spirits,2.13,2.18,2.22,2.23,2.23,2.53,2.59,2.53,2.46,2.35
Greece,Other alcoholic beverages,0.15,0.16,0.15,0.16,0.18,0.18,0.18,0.18,0.18,0.18
Hungary,All types,11.52,11.75,12.54,13.25,12.95,13.28,13.24,13.28,13.18,12.23
Hungary,Beer,4.27,4.3,4.59,4.39,4.3,4.34,4.47,4.34,4.25,4.3
Hungary,Wine,3.19,3.27,3.87,4.54,4.51,4.66,4.6,4.88,4.86,4.08
Hungary,Spirits,4.06,4.18,4.07,4.32,4.14,4.27,4.17,4.06,4.07,3.85
Hungary,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,All types,7.24,7.19,7.53,7.2,7.05,6.71,6.52,6.53,6.32,6.14
Iceland,Beer,3.83,3.55,3.95,3.78,3.67,3.49,3.34,3.29,3.11,3.04
Iceland,Wine,1.94,2.12,2.04,1.97,1.95,1.83,1.71,1.59,1.48,1.34
Iceland,Spirits,1.47,1.52,1.54,1.45,1.43,1.39,1.47,1.65,1.73,1.76
Iceland,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,All types,10.93,12.18,13.17,13.12,13.06,13.11,13.04,13.95,14.04,13.84
Ireland,Beer,5.59,6.07,6.53,6.7,6.86,6.99,7.2,7.55,7.75,7.88
Ireland,Wine,2.47,2.7,2.84,2.7,2.58,2.53,2.26,2.14,1.93,1.76
Ireland,Spirits,1.93,2.4,2.64,2.52,2.45,2.44,2.43,3.1,3.01,2.97
Ireland,Other alcoholic beverages,0.94,1.01,1.16,1.19,1.17,1.15,1.15,1.16,1.34,1.23
Italy,All types,7.25,7.96,8.37,8.44,8.65,8.98,9.3,9.25,9.68,9.78
Italy,Beer,1.63,1.71,1.81,1.76,1.73,1.72,1.75,1.64,1.68,1.64
Italy,Wine,4.79,5.42,5.72,5.7,5.85,6.19,6.47,6.54,6.93,7.06
Italy,Spirits,0.84,0.84,0.84,0.98,1.07,1.07,1.07,1.07,1.07,1.07
Italy,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,All types,9.85,11.84,12.12,10.4,9.92,8.81,8.24,7.44,6.68,7.13
Latvia,Beer,4.35,4.12,4.15,4.09,3.8,3.69,2.97,2.74,2.12,1.97
Latvia,Wine,1.03,1.13,1.18,1.06,0.94,0.95,1.78,1.5,1.38,1.6
Latvia,Spirits,3.94,5.8,5.91,4.48,4.57,3.74,3.33,3.04,3.04,3.45
Latvia,Other alcoholic beverages,0.53,0.79,0.88,0.78,0.6,0.43,0.16,0.16,0.14,0.11
Lithuania,All types,12.97,13.79,13.79,13.34,12.42,12.1,11.29,11.0,10.2,9.87
Lithuania,Beer,4.96,4.93,5.04,5.42,5.19,4.62,4.58,4.66,4.0,3.78
Lithuania,Wine,1.06,0.99,1.03,1.98,1.63,2.37,2.24,2.06,1.89,2.1
Lithuania,Spirits,5.0,5.78,5.76,4.92,4.66,4.31,3.71,3.59,3.67,3.3
Lithuania,Other alcoholic beverages,1.96,2.08,1.96,1.01,0.94,0.79,0.76,0.69,0.64,0.69
Luxembourg,All types,11.98,11.99,12.27,12.5,12.31,12.34,12.52,12.88,13.1,13.21
Luxembourg,Beer,4.3,4.27,4.41,4.57,4.47,4.27,4.36,4.46,4.54,4.74
Luxembourg,Wine,5.26,5.28,5.42,5.44,5.39,5.5,5.66,5.83,5.92,5.86
Luxembourg,Spirits,2.43,2.44,2.44,2.49,2.45,2.58,2.5,2.59,2.65,2.61
Luxembourg,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,All types,10.17,10.89,9.68,10.38,,,,,,
Montenegro,Beer,4.47,5.46,5.26,5.11,,,,,,
Montenegro,Wine,3.22,2.92,1.96,2.87,,,,,,
Montenegro,Spirits,2.31,2.29,2.25,2.2,,,,,,
Montenegro,Other alcoholic beverages,0.18,0.23,0.22,0.21,,,,,,
North Macedonia,All types,3.67,4.02,3.84,3.79,4.24,4.98,5.18,4.67,4.4,4.49
North Macedonia,Beer,1.7,2.04,2.02,1.98,1.98,2.03,2.03,1.97,1.96,2.12
North Macedonia,Wine,1.07,1.07,0.86,0.86,1.46,1.48,1.66,1.19,0.89,0.76
North Macedonia,Spirits,0.87,0.89,0.93,0.92,0.78,1.45,1.47,1.48,1.53,1.6
North Macedonia,Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Norway,All types,6.68,6.75,6.6,6.47,6.37,6.22,6.04,5.89,5.49,5.67
Norway,Beer,2.96,3.06,3.02,3.01,2.98,2.96,2.76,2.89,2.82,2.93
Norway,Wine,2.28,2.23,2.11,2.05,2.0,1.9,1.84,1.81,1.6,1.62
Norway,Spirits,1.31,1.33,1.35,1.3,1.28,1.25,1.22,1.12,1.0,1.05
Norway,Other alcoholic beverages,0.13,0.13,0.12,0.11,0.11,0.11,0.22,0.07,0.07,0.07
Poland,All types,10.17,10.8,10.39,9.74,9.07,9.19,9.06,8.02,7.74,8.4
Poland,Beer,5.39,5.59,5.55,5.21,4.84,4.66,4.51,4.31,4.08,4.14
Poland,Wine,0.99,1.18,1.27,1.3,1.24,1.53,1.64,1.64,1.56,1.78
Poland,Spirits,3.78,4.03,3.57,3.22,3.0,3.01,2.9,2.07,2.09,2.48
Poland,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
