"Countries, territories and areas",Beverage Types, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010
Albania, All types,4.4,4.44,4.39,4.38,4.33,4.1,4.28,4.43,5.03,4.88
Albania, Beer,1.75,1.75,1.64,1.52,1.48,1.29,1.34,1.34,1.88,1.71
Albania, Wine,1.15,1.12,1.11,1.17,1.1,0.99,1.07,1.12,1.08,1.08
Albania, Spirits,1.43,1.5,1.56,1.61,1.68,1.74,1.79,1.88,1.99,1.97
Albania, Other alcoholic beverages,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.11
Andorra, All types,10.99,10.72,11.18,11.18,11.02,9.88,10.06,10.33,10.46,10.53
Andorra, Beer,3.59,3.5,3.4,3.26,3.16,3.28,2.96,3.14,3.1,3.13
Andorra, Wine,4.98,4.81,5.33,5.38,5.4,4.13,4.61,4.73,4.73,4.71
Andorra, Spirits,2.32,2.33,2.35,2.44,2.36,2.32,2.34,2.36,2.52,2.59
Andorra, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria, All types,11.9,11.6,11.6,11.7,11.6,12.4,12.1,12.1,11.9,12.1
Austria, Beer,6.3,6.1,6.1,6.1,6.1,6.2,6.1,6.3,6.1,6.1
Austria, Wine,3.7,3.6,3.6,3.7,3.6,4.2,3.9,4.1,4.1,4.3
Austria, Spirits,1.9,1.9,1.9,1.9,1.9,2.0,2.1,1.7,1.7,1.7
Austria, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus, All types,10.57,10.08,9.76,9.74,9.79,11.29,12.58,13.56,14.5,14.43
Belarus, Beer,2.26,2.18,2.05,2.07,2.0,2.16,2.36,2.19,2.3,2.37
Belarus, Wine,0.98,0.9,0.85,0.8,0.75,0.84,0.84,0.76,0.73,0.75
Belarus, Spirits,4.67,4.52,4.49,4.51,4.24,4.76,5.4,6.58,6.43,5.94
Belarus, Other alcoholic beverages,2.66,2.48,2.38,2.37,2.79,3.52,3.97,4.03,5.04,5.36
Belgium, All types,9.15,9.22,9.3,9.42,10.36,10.57,10.33,10.09,10.14,10.27
Belgium, Beer,4.35,4.4,4.42,4.46,4.6,4.72,4.6,4.78,4.89,5.03
Belgium, Wine,3.41,3.41,3.42,3.47,3.97,3.97,3.87,3.72,3.71,3.72
Belgium, Spirits,1.09,1.1,1.13,1.15,1.47,1.47,1.42,1.54,1.49,1.48
Belgium, Other alcoholic beverages,0.3,0.31,0.34,0.34,0.32,0.41,0.44,0.05,0.05,0.05
Bosnia and Herzegovina, All types,5.46,5.44,5.25,5.04,4.9,4.69,4.69,4.83,4.71,4.57
Bosnia and Herzegovina, Beer,4.19,4.19,4.01,3.85,3.72,3.52,3.53,3.69,3.55,3.39
Bosnia and Herzegovina, Wine,0.47,0.47,0.48,0.45,0.46,0.47,0.46,0.42,0.42,0.44
Bosnia and Herzegovina, Spirits,0.62,0.61,0.6,0.57,0.56,0.55,0.55,0.58,0.61,0.61
Bosnia and Herzegovina, Other alcoholic beverages,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13
Bulgaria, All types,11.18,11.53,10.93,11.13,10.89,10.3,10.32,10.88,9.88,9.82
Bulgaria, Beer,4.44,4.44,4.32,4.37,4.22,4.04,4.24,4.28,4.08,4.0
Bulgaria, Wine,1.72,2.07,1.72,2.01,1.95,1.8,1.52,1.93,0.95,1.11
Bulgaria, Spirits,4.96,4.85,4.72,4.61,4.62,4.39,4.5,4.62,4.81,4.67
Bulgaria, Other alcoholic beverages,0.06,0.17,0.16,0.14,0.1,0.08,0.06,0.05,0.04,0.04
Croatia, All types,9.64,9.63,9.7,10.0,9.64,9.5,10.39,10.58,11.01,10.71
Croatia, Beer,4.75,4.75,4.65,4.62,4.55,4.25,4.61,4.55,4.73,4.48
Croatia, Wine,3.52,3.52,3.7,4.03,3.76,3.94,4.51,4.78,5.05,5.02
Croatia, Spirits,1.37,1.36,1.35,1.34,1.33,1.32,1.28,1.25,1.23,1.21
Croatia, Other alcoholic beverages,0.36,0.39,0.38,0.37,0.36,0.36,0.36,0.38,0.4,0.39
Czechia, All types,12.73,12.73,12.73,12.92,12.76,12.75,12.54,12.83,12.56,12.68
Czechia, Beer,6.77,6.77,6.77,6.88,6.87,6.88,6.87,6.93,6.64,6.72
Czechia, Wine,2.73,2.73,2.73,2.76,2.66,2.74,2.63,2.77,2.71,2.71
Czechia, Spirits,3.24,3.24,3.24,3.28,3.23,3.13,3.04,3.12,3.21,3.26
Czechia, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark, All types,9.16,9.32,9.3,9.51,9.42,9.55,9.44,9.23,10.45,10.27
Denmark, Beer,3.42,3.45,3.44,3.56,3.45,3.57,3.48,3.55,3.81,3.86
Denmark, Wine,4.08,4.22,4.15,4.25,4.26,4.31,4.31,4.09,5.04,4.92
Denmark, Spirits,1.66,1.65,1.64,1.62,1.65,1.59,1.57,1.51,1.51,1.44
Denmark, Other alcoholic beverages,0.0,0.0,0.08,0.08,0.07,0.08,0.07,0.08,0.1,0.05
Estonia, All types,11.65,10.81,13.08,15.61,16.72,17.29,17.75,16.96,16.27,14.97
Estonia, Beer,4.0,3.61,4.93,5.69,6.0,6.14,6.38,6.19,5.98,5.87
Estonia, Wine,1.92,1.9,2.17,2.35,2.25,2.18,2.18,2.01,1.85,1.65
Estonia, Spirits,4.6,4.32,4.64,5.97,6.47,6.77,7.09,6.75,6.55,5.64
Estonia, Other alcoholic beverages,1.13,0.98,1.34,1.6,2.0,2.2,2.1,2.01,1.89,1.81
Finland, All types,8.23,8.37,8.37,8.44,8.52,8.76,9.08,9.27,9.81,9.72
Finland, Beer,3.76,3.97,4.04,4.11,4.13,4.17,4.28,4.27,4.61,4.47
Finland, Wine,1.59,1.72,1.75,1.74,1.75,1.8,1.84,1.89,1.89,1.86
Finland, Spirits,1.96,1.1,1.14,1.15,1.18,1.24,1.3,1.38,1.44,1.5
Finland, Other alcoholic beverages,0.91,1.58,1.44,1.43,1.45,1.54,1.65,1.74,1.87,1.89
France, All types,11.44,11.24,11.69,11.74,11.87,12.07,11.73,12.22,12.35,12.3
France, Beer,2.52,2.43,2.3,2.21,2.16,2.26,1.8,2.15,2.1,2.18
France, Wine,6.44,6.29,6.79,6.9,7.09,7.04,7.13,7.33,7.41,7.27
France, Spirits,2.3,2.35,2.41,2.43,2.42,2.47,2.5,2.54,2.64,2.65
