LOCATION,BEVERAGE TYPES,TIME,VALUE
Austria,All types,2020,11.3
Austria,All types,2021,11.1
Czechia,All types,2020,11.6
Czechia,All types,2021,11.6
Denmark,All types,2020,9.7
Denmark,All types,2021,10.4
Finland,All types,2020,8.2
Finland,All types,2021,8.1
France,All types,2020,10.4
France,All types,2021,10.5
Hungary,All types,2020,10.4
Hungary,All types,2021,10.4
Iceland,All types,2020,7.4
Ireland,All types,2020,10.1
Ireland,All types,2021,9.5
Netherlands,All types,2020,7.8
Netherlands,All types,2021,8.1
Norway,All types,2020,7.2
Norway,All types,2021,7.4
Poland,All types,2020,10.9
Poland,All types,2021,11.0
Slovakia,All types,2020,10.2
Slovakia,All types,2021,9.6
Spain,All types,2020,8.7
Spain,All types,2021,10.5
Sweden,All types,2020,7.5
Sweden,All types,2021,7.6
Switzerland,All types,2020,8.5
Switzerland,All types,2021,8.5
Turkey,All types,2020,1.2
Turkey,All types,2021,1.4
United Kingdom,All types,2020,9.7
United Kingdom,All types,2021,10.0
Estonia,All types,2020,10.8
Estonia,All types,2021,11.1
Slovenia,All types,2020,9.8
Slovenia,All types,2021,10.6
Latvia,All types,2020,12.1
Latvia,All types,2021,12.2
Lithuania,All types,2020,11.4
Lithuania,All types,2021,12.1
