LOCATION,BEVERAGE TYPES,TIME,VALUE
Albania,All types,2009,5.79
Albania,Beer,2009,2.21
Albania,Wine,2009,1.06
Albania,Spirits,2009,2.41
Albania,Other alcoholic beverages,2009,0.12
Andorra,All types,2009,10.86
Andorra,Beer,2009,3.2
Andorra,Wine,2009,4.87
Andorra,Spirits,2009,2.64
Andorra,Other alcoholic beverages,2009,0.0
Austria,All types,2009,11.87
Austria,Beer,2009,6.11
Austria,Wine,2009,4.0
Austria,Spirits,2009,1.76
Austria,Other alcoholic beverages,2009,0.0
Belarus,All types,2009,13.98
Belarus,Beer,2009,2.33
Belarus,Wine,2009,0.61
Belarus,Spirits,2009,6.12
Belarus,Other alcoholic beverages,2009,4.92
Belgium,All types,2009,10.1
Belgium,Beer,2009,4.94
Belgium,Wine,2009,3.66
Belgium,Spirits,2009,1.45
Belgium,Other alcoholic beverages,2009,0.05
Bosnia and Herzegovina,All types,2009,4.69
Bosnia and Herzegovina,Beer,2009,3.53
Bosnia and Herzegovina,Wine,2009,0.46
Bosnia and Herzegovina,Spirits,2009,0.58
Bosnia and Herzegovina,Other alcoholic beverages,2009,0.13
Bulgaria,All types,2009,10.53
Bulgaria,Beer,2009,4.02
Bulgaria,Wine,2009,1.63
Bulgaria,Spirits,2009,4.83
Bulgaria,Other alcoholic beverages,2009,0.05
Croatia,All types,2009,11.11
Croatia,Beer,2009,4.74
Croatia,Wine,2009,4.75
Croatia,Spirits,2009,1.23
Croatia,Other alcoholic beverages,2009,0.39
Czechia,All types,2009,13.43
Czechia,Beer,2009,7.01
Czechia,Wine,2009,2.61
Czechia,Spirits,2009,3.81
Czechia,Other alcoholic beverages,2009,0.0
Denmark,All types,2009,10.08
Denmark,Beer,2009,4.13
Denmark,Wine,2009,4.38
Denmark,Spirits,2009,1.52
Denmark,Other alcoholic beverages,2009,0.05
Estonia,All types,2009,14.66
Estonia,Beer,2009,5.07
Estonia,Wine,2009,1.38
Estonia,Spirits,2009,6.52
Estonia,Other alcoholic beverages,2009,1.68
Finland,All types,2009,9.96
Finland,Beer,2009,4.54
Finland,Wine,2009,1.85
Finland,Spirits,2009,1.62
Finland,Other alcoholic beverages,2009,1.95
France,All types,2009,12.66
France,Beer,2009,2.25
France,Wine,2009,7.41
France,Spirits,2009,2.7
France,Other alcoholic beverages,2009,0.3
Germany,All types,2009,11.23
Germany,Beer,2009,6.34
Germany,Wine,2009,3.11
Germany,Spirits,2009,2.15
Germany,Other alcoholic beverages,2009,0.0
Greece,All types,2009,8.32
Greece,Beer,2009,2.23
Greece,Wine,2009,3.81
Greece,Spirits,2009,2.13
Greece,Other alcoholic beverages,2009,0.15
Hungary,All types,2009,11.52
Hungary,Beer,2009,4.27
Hungary,Wine,2009,3.19
Hungary,Spirits,2009,4.06
Hungary,Other alcoholic beverages,2009,0.0
Iceland,All types,2009,7.24
Iceland,Beer,2009,3.83
Iceland,Wine,2009,1.94
Iceland,Spirits,2009,1.47
Iceland,Other alcoholic beverages,2009,0.0
Ireland,All types,2009,10.93
Ireland,Beer,2009,5.59
Ireland,Wine,2009,2.47
Ireland,Spirits,2009,1.93
Ireland,Other alcoholic beverages,2009,0.94
Italy,All types,2009,7.25
Italy,Beer,2009,1.63
Italy,Wine,2009,4.79
Italy,Spirits,2009,0.84
Italy,Other alcoholic beverages,2009,0.0
Latvia,All types,2009,9.85
Latvia,Beer,2009,4.35
Latvia,Wine,2009,1.03
Latvia,Spirits,2009,3.94
Latvia,Other alcoholic beverages,2009,0.53
Lithuania,All types,2009,12.97
Lithuania,Beer,2009,4.96
Lithuania,Wine,2009,1.06
Lithuania,Spirits,2009,5.0
Lithuania,Other alcoholic beverages,2009,1.96
Luxembourg,All types,2009,11.98
Luxembourg,Beer,2009,4.3
Luxembourg,Wine,2009,5.26
Luxembourg,Spirits,2009,2.43
Luxembourg,Other alcoholic beverages,2009,0.0
Montenegro,All types,2009,10.17
Montenegro,Beer,2009,4.47
Montenegro,Wine,2009,3.22
Montenegro,Spirits,2009,2.31
Montenegro,Other alcoholic beverages,2009,0.18
North Macedonia,All types,2009,3.67
North Macedonia,Beer,2009,1.7
North Macedonia,Wine,2009,1.07
North Macedonia,Spirits,2009,0.87
North Macedonia,Other alcoholic beverages,2009,0.02
Norway,All types,2009,6.68
Norway,Beer,2009,2.96
Norway,Wine,2009,2.28
Norway,Spirits,2009,1.31
Norway,Other alcoholic beverages,2009,0.13
Poland,All types,2009,10.17
Poland,Beer,2009,5.39
Poland,Wine,2009,0.99
Poland,Spirits,2009,3.78
Poland,Other alcoholic beverages,2009,0.0
Portugal,All types,2009,11.5
Portugal,Beer,2009,3.04
Portugal,Wine,2009,6.46
Portugal,Spirits,2009,1.63
Portugal,Other alcoholic beverages,2009,0.38
Romania,All types,2009,11.01
Romania,Beer,2009,5.19
Romania,Wine,2009,3.33
Romania,Spirits,2009,2.49
Romania,Other alcoholic beverages,2009,0.0
Slovakia,All types,2009,11.13
Slovakia,Beer,2009,3.91
Slovakia,Wine,2009,2.13
Slovakia,Spirits,2009,4.62
Slovakia,Other alcoholic beverages,2009,0.47
Slovenia,All types,2009,10.52
