LOCATION,BEVERAGE TYPES,TIME,VALUE
Albania, All types, 1979,1.4
Albania, Beer, 1979,0.48
Albania, Wine, 1979,0.16
Albania, Spirits, 1979,0.76
Austria, All types, 1979,13.4
Austria, Beer, 1979,6.5
Austria, Wine, 1979,5.2
Austria, Spirits, 1979,1.7
Belgium, All types, 1979,13.56
Belgium, Beer, 1979,7.9
Belgium, Wine, 1979,2.82
Belgium, Spirits, 1979,2.84
Bulgaria, All types, 1979,10.91
Bulgaria, Beer, 1979,3.73
Bulgaria, Wine, 1979,3.17
Bulgaria, Spirits, 1979,4.01
Czechia, All types, 1979,13.17
Czechia, Beer, 1979,6.73
Czechia, Wine, 1979,2.22
Czechia, Spirits, 1979,4.22
Denmark, All types, 1979,11.41
Denmark, Beer, 1979,7.65
Denmark, Wine, 1979,1.94
Denmark, Spirits, 1979,1.82
Finland, All types, 1979,7.84
Finland, Beer, 1979,3.21
Finland, Wine, 1979,0.91
Finland, Spirits, 1979,1.73
Finland, Other alcoholic beverages, 1979,1.99
France, All types, 1979,19.4
France, Beer, 1979,2.94
France, Wine, 1979,13.19
France, Spirits, 1979,3.27
Germany, All types, 1979,16.67
Germany, Beer, 1979,8.93
Germany, Wine, 1979,3.59
Germany, Spirits, 1979,4.15
Greece, All types, 1979,11.59
Greece, Beer, 1979,1.99
Greece, Wine, 1979,6.16
Greece, Spirits, 1979,3.44
Hungary, All types, 1979,15.59
Hungary, Beer, 1979,5.5
Hungary, Wine, 1979,4.78
Hungary, Spirits, 1979,5.31
Iceland, All types, 1979,5.12
Iceland, Beer, 1979,1.01
Iceland, Wine, 1979,0.85
Iceland, Spirits, 1979,3.26
Iceland, Other alcoholic beverages, 1979,0.01
Ireland, All types, 1979,13.83
Ireland, Beer, 1979,8.88
Ireland, Wine, 1979,0.82
Ireland, Spirits, 1979,3.24
Ireland, Other alcoholic beverages, 1979,0.89
Italy, All types, 1979,16.49
Italy, Beer, 1979,1.09
Italy, Wine, 1979,12.81
Italy, Spirits, 1979,2.59
Luxembourg, All types, 1979,18.03
Luxembourg, Beer, 1979,5.93
Luxembourg, Wine, 1979,8.39
Luxembourg, Spirits, 1979,3.71
Norway, All types, 1979,5.83
Norway, Beer, 1979,2.96
Norway, Wine, 1979,0.53
Norway, Spirits, 1979,2.34
Poland, All types, 1979,10.62
Poland, Beer, 1979,2.02
Poland, Wine, 1979,1.43
Poland, Spirits, 1979,7.17
Portugal, All types, 1979,14.19
Portugal, Beer, 1979,2.56
Portugal, Wine, 1979,11.15
Portugal, Spirits, 1979,0.49
Portugal, Other alcoholic beverages, 1979,0.77
Romania, All types, 1979,11.41
Romania, Beer, 1979,2.96
Romania, Wine, 1979,5.32
Romania, Spirits, 1979,3.13
Slovakia, All types, 1979,13.57
Slovakia, Beer, 1979,6.86
Slovakia, Wine, 1979,2.54
Slovakia, Spirits, 1979,4.17
Spain, All types, 1979,17.71
Spain, Beer, 1979,3.68
Spain, Wine, 1979,9.79
Spain, Spirits, 1979,4.24
Sweden, All types, 1979,8.08
Sweden, Beer, 1979,3.01
Sweden, Wine, 1979,1.29
Sweden, Spirits, 1979,3.78
Switzerland, All types, 1979,14.06
Switzerland, Beer, 1979,4.28
Switzerland, Wine, 1979,6.9
Switzerland, Spirits, 1979,2.56
Switzerland, Other alcoholic beverages, 1979,0.32
Ukraine, All types, 1979,
Ukraine, Beer, 1979,
Ukraine, Wine, 1979,
Ukraine, Spirits, 1979,
Albania, All types, 1978,1.65
Albania, Beer, 1978,0.5
Albania, Wine, 1978,0.3
Albania, Spirits, 1978,0.85
Austria, All types, 1978,14.0
Austria, Beer, 1978,6.7
Austria, Wine, 1978,5.1
Austria, Spirits, 1978,2.2
Belgium, All types, 1978,13.4
Belgium, Beer, 1978,7.92
Belgium, Wine, 1978,2.47
Belgium, Spirits, 1978,3.01
Bulgaria, All types, 1978,11.27
