,Year,Country,Alcohol Consumption,Happiness,Social Support,Freedom To Make Life Choices,Generosity,Rank
0,2012,Albania,4.43,5.510124207,0.784501791,0.601512134,-0.170467481,25
1,2013,Albania,4.28,4.550647736,0.759476721,0.631830275,-0.128825098,33
2,2014,Albania,4.1,4.813763142,0.625586927,0.734648407,-0.026297539,32
3,2015,Albania,4.33,4.606650829,0.639356136,0.703850687,-0.082491614,35
4,2016,Albania,4.38,4.511100769,0.638411462,0.72981894,-0.018664083,35
5,2017,Albania,4.39,4.639548302,0.637698293,0.74961102,-0.030505668,35
6,2018,Albania,4.44,5.004402637,0.683591664,0.824212313,0.007197479,34
7,2019,Albania,4.4,4.995317936,0.686364889,0.777351439,-0.10090977,34
8,2012,Austria,12.1,7.400688648,0.945142388,0.919703901,0.113813803,8
9,2013,Austria,12.1,7.498802662,0.949809194,0.921734452,0.164262667,3
10,2014,Austria,12.4,6.949999809,0.898920476,0.885026872,0.113623381,9
11,2015,Austria,11.6,7.07644701,0.928110301,0.900305152,0.094909608,8
12,2016,Austria,11.7,7.048071861,0.926318586,0.888513982,0.075823404,8
13,2017,Austria,11.6,7.293727875,0.906217813,0.890030563,0.129277334,7
14,2018,Austria,11.6,7.396001816,0.911668122,0.904111981,0.049663041,6
15,2019,Austria,11.9,7.195361137,0.964488804,0.90342766,0.055960763,10
16,2020,Austria,11.3,7.213489056,0.924831212,0.911909878,0.006124678,9
17,2021,Austria,11.1,7.079640865,0.862975955,0.794845939,0.159445032,8
18,2012,Belarus,13.56,5.749043465,0.901961505,0.64524883,-0.220894024,24
19,2013,Belarus,12.58,5.876466274,0.922505975,0.723431289,-0.181126356,19
20,2014,Belarus,11.29,5.812400818,0.880258858,0.647184551,-0.051936623,20
21,2015,Belarus,9.79,5.718907833,0.924072623,0.622753441,-0.095032595,24
22,2016,Belarus,9.74,5.177899361,0.926551104,0.658228815,-0.129186898,33
23,2017,Belarus,9.76,5.552915096,0.900255799,0.620979249,-0.125324965,28
