LOCATION,TIME,VALUE
Australia,1960,9.3
Australia,1961,9.4
Australia,1962,9.5
Australia,1963,9.8
Australia,1964,10.1
Australia,1965,10
Australia,1966,10.3
Australia,1967,10.8
Australia,1968,11.1
Australia,1969,11.6
Australia,1970,11.6
Australia,1971,11.6
Australia,1972,12.2
Australia,1973,12.9
Australia,1974,13.1
Australia,1975,12.9
Australia,1976,13.1
Australia,1977,13
Australia,1978,12.7
Australia,1979,12.7
Australia,1980,12.7
Australia,1981,12.8
Australia,1982,12.4
Australia,1983,12.2
Australia,1984,11.7
Australia,1985,11.8
Australia,1986,11.3
Australia,1987,11.4
Australia,1988,11.3
Australia,1989,11
Australia,1990,10.6
Australia,1991,10.1
Australia,1992,9.9
Australia,1993,10.2
Australia,1994,10
Australia,1995,9.8
Australia,1996,10
Australia,1997,10.2
Australia,1998,10
Australia,1999,10
Australia,2000,10.2
Australia,2001,10
Australia,2002,10.4
Australia,2003,10.3
Australia,2004,10.5
Australia,2005,10.5
Australia,2006,10.8
Australia,2007,10.8
Australia,2008,10.8
Australia,2009,10.7
Australia,2010,10.4
Australia,2011,10.2
Australia,2012,10
Australia,2013,9.9
Australia,2014,9.7
Australia,2015,9.8
Australia,2016,9.5
Australia,2017,9.5
Austria,1960,8.8
Austria,1961,9.4
Austria,1962,9.4
Austria,1963,10.1
Austria,1964,10.7
Austria,1965,11.2
Austria,1966,13
Austria,1967,12.7
Austria,1968,13.4
Austria,1969,13.2
Austria,1970,13.3
Austria,1971,13.9
Austria,1972,14.4
Austria,1973,14.6
Austria,1974,14.6
Austria,1975,14.1
Austria,1976,14.2
Austria,1977,14.3
Austria,1978,13.5
Austria,1979,13.6
Austria,1980,13.6
Austria,1981,13.4
Austria,1982,13.5
Austria,1983,14
Austria,1984,13.8
Austria,1985,13.3
Austria,1986,13.6
Austria,1987,13.6
Austria,1988,13.7
Austria,1989,13.9
Austria,1990,14
Austria,1991,14
Austria,1992,13.6
Austria,1993,13.5
Austria,1994,12.5
Austria,1995,13.4
Austria,1996,13.5
Austria,1997,12.9
Austria,1998,12.9
Austria,1999,12.8
Austria,2000,13.2
Austria,2001,12.3
Austria,2002,12.1
Austria,2003,12.3
Austria,2004,12.1
Austria,2005,12.2
Austria,2006,12.5
Austria,2007,12.5
Austria,2008,12
Austria,2009,11.8
Austria,2010,12.1
Austria,2011,11.9
Austria,2012,12.1
Austria,2013,11.9
Austria,2014,12.2
Austria,2015,11.2
Austria,2016,11.4
Austria,2017,11.3
Austria,2018,11.3
Austria,2019,11.6
Austria,2020,11.3
Austria,2021,11.1
Belgium,1963,9.9
Belgium,1964,10.5
Belgium,1965,10.8
Belgium,1966,10.3
Belgium,1967,10.7
Belgium,1968,11.2
Belgium,1969,11.5
Belgium,1970,12.4
Belgium,1971,12.6
Belgium,1972,13
Belgium,1973,13.8
Belgium,1974,13.4
Belgium,1975,13.5
Belgium,1976,13.6
Belgium,1977,13.5
Belgium,1978,13.4
Belgium,1979,13.6
Belgium,1980,14
Belgium,1981,13.3
Belgium,1982,13.7
Belgium,1983,13.6
Belgium,1984,13.3
Belgium,1985,13.1
Belgium,1986,12.7
Belgium,1987,13.2
Belgium,1988,12.5
Belgium,1989,11.6
Belgium,1990,12.2
Belgium,1991,11.4
Belgium,1992,11.7
Belgium,1993,11.7
Belgium,1994,11.1
Belgium,1995,11
Belgium,1996,10.9
Belgium,1997,10.9
Belgium,1998,9.9
Belgium,1999,10.1
Belgium,2000,11.2
Belgium,2001,11
Belgium,2002,11.3
Belgium,2003,11.3
Belgium,2004,12.1
Belgium,2005,12.2
Belgium,2006,10.9
Belgium,2007,10.3
Belgium,2008,10.5
Belgium,2009,10.1
Belgium,2010,10.3
Belgium,2011,10.1
Belgium,2012,10.1
Belgium,2013,10.3
Belgium,2014,10.6
Belgium,2015,10.4
Belgium,2016,9.4
Belgium,2017,9.3
Belgium,2018,9.2
Belgium,2019,9.2
Canada,1960,7
Canada,1961,7.1
Canada,1962,7.3
Canada,1963,7.5
Canada,1964,7.6
Canada,1965,7.8
Canada,1966,8.1
Canada,1967,8.3
Canada,1968,8.3
Canada,1969,8.5
Canada,1970,8.8
Canada,1971,9.4
Canada,1972,9.9
Canada,1973,10.4
Canada,1974,10.8
Canada,1975,10.9
Canada,1976,10.9
Canada,1977,10.9
Canada,1978,10.9
Canada,1979,10.9
Canada,1980,10.7
Canada,1981,10.8
Canada,1982,10.5
Canada,1983,10.2
Canada,1984,9.9
Canada,1985,9.8
Canada,1986,9.6
Canada,1987,9.6
Canada,1988,9.4
Canada,1989,8.8
Canada,1990,8.5
Canada,1991,8.2
Canada,1992,7.8
Canada,1993,7.5
Canada,1994,7.4
Canada,1995,7.4
Canada,1996,7.4
Canada,1997,7.2
Canada,1998,7.3
Canada,1999,7.5
Canada,2000,7.6
Canada,2001,7.6
Canada,2002,7.7
Canada,2003,7.7
Canada,2004,7.8
Canada,2005,8
Canada,2006,8.2
Canada,2007,8.4
Canada,2008,8.4
Canada,2009,8.4
Canada,2010,8.4
Canada,2011,8.2
Canada,2012,8.3
Canada,2013,8.2
Canada,2014,8
Canada,2015,8
Canada,2016,8.1
Canada,2017,8.2
Canada,2018,8.2
Canada,2019,8
Canada,2020,8.1
Canada,2021,8.3
Canada,2022,8.1
Czech Republic,1980,11.7
Czech Republic,1981,12.3
Czech Republic,1982,11.9
Czech Republic,1983,12.2
Czech Republic,1984,12
Czech Republic,1985,11.7
Czech Republic,1986,11.3
Czech Republic,1987,10.4
Czech Republic,1988,10.5
Czech Republic,1989,10.5
Czech Republic,1990,11.3
Czech Republic,1991,11.5
Czech Republic,1992,11.8
Czech Republic,1993,11.5
Czech Republic,1994,11.6
Czech Republic,1995,11.5
Czech Republic,1996,11.6
Czech Republic,1997,11.9
Czech Republic,1998,11.8
Czech Republic,1999,11.9
Czech Republic,2000,11.8
Czech Republic,2001,11.8
Czech Republic,2002,11.9
Czech Republic,2003,12.1
Czech Republic,2004,11.5
Czech Republic,2005,12
Czech Republic,2006,11.9
Czech Republic,2007,12.1
Czech Republic,2008,12.1
Czech Republic,2009,12.1
Czech Republic,2010,11.4
Czech Republic,2011,11.5
Czech Republic,2012,11.6
Czech Republic,2013,11.5
Czech Republic,2014,11.9
Czech Republic,2015,11.5
Czech Republic,2016,11.7
Czech Republic,2017,11.6
Czech Republic,2018,11.8
Czech Republic,2019,11.9
Czech Republic,2020,11.6
Czech Republic,2021,11.6
Denmark,1960,6
Denmark,1965,7.4
Denmark,1966,7.9
Denmark,1967,8
Denmark,1968,8.3
Denmark,1969,8.9
Denmark,1970,9.7
Denmark,1971,10
Denmark,1972,10.8
Denmark,1973,11.7
Denmark,1974,11.4
Denmark,1975,12.3
Denmark,1976,12.7
Denmark,1977,12.3
Denmark,1978,11.7
Denmark,1979,12.3
Denmark,1980,12.4
Denmark,1981,12.9
Denmark,1982,13.3
Denmark,1983,13.7
Denmark,1984,13
Denmark,1985,13.1
Denmark,1986,12.8
Denmark,1987,12.5
Denmark,1988,12.5
Denmark,1989,12.2
Denmark,1990,12.3
Denmark,1991,12.2
Denmark,1992,12.5
Denmark,1993,12.3
Denmark,1994,12.5
Denmark,1995,12.7
Denmark,1996,12.7
Denmark,1997,12.6
Denmark,1998,12.1
Denmark,1999,12.1
Denmark,2000,12.2
Denmark,2001,12
Denmark,2002,11.8
Denmark,2003,12
Denmark,2004,11.8
Denmark,2005,11.8
Denmark,2006,11.6
Denmark,2007,11.6
Denmark,2008,11.3
Denmark,2009,10.6
Denmark,2010,10.8
Denmark,2011,11
Denmark,2012,9.8
Denmark,2013,10
Denmark,2014,10.1
Denmark,2015,9.9
Denmark,2016,10
Denmark,2017,9.7
Denmark,2018,9.7
Denmark,2019,9.5
Denmark,2020,9.7
Denmark,2021,10.4
Finland,1960,2.7
Finland,1961,2.9
Finland,1962,3
Finland,1963,3.1
Finland,1964,3.1
Finland,1965,3.3
Finland,1966,3.5
Finland,1967,3.6
Finland,1968,3.9
Finland,1969,5.7
Finland,1970,5.8
Finland,1971,6.4
Finland,1972,6.8
Finland,1973,7.4
Finland,1974,8.4
Finland,1975,8
Finland,1976,8.1
Finland,1977,8.2
Finland,1978,7.9
Finland,1979,7.8
Finland,1980,7.9
Finland,1981,8
Finland,1982,7.9
Finland,1983,7.9
Finland,1984,8.1
Finland,1985,8
Finland,1986,8.5
Finland,1987,8.8
Finland,1988,9
Finland,1989,9.4
Finland,1990,9.5
Finland,1991,9.2
Finland,1992,8.9
Finland,1993,8.4
Finland,1994,8.2
Finland,1995,8.3
Finland,1996,8.2
Finland,1997,8.6
Finland,1998,8.6
Finland,1999,8.6
Finland,2000,8.6
Finland,2001,9
Finland,2002,9.2
Finland,2003,9.3
Finland,2004,9.9
Finland,2005,10
Finland,2006,10.1
Finland,2007,10.5
Finland,2008,10.3
Finland,2009,10
Finland,2010,9.7
Finland,2011,9.8
Finland,2012,9.3
Finland,2013,9.1
Finland,2014,8.8
Finland,2015,8.5
Finland,2016,8.4
Finland,2017,8.4
Finland,2018,8.4
Finland,2019,8.2
Finland,2020,8.2
Finland,2021,8.1
France,1970,23.2
France,1971,22.9
France,1972,22.6
France,1973,22.8
France,1974,22.5
France,1975,22.5
France,1976,22.2
France,1977,22.1
France,1978,21.1
France,1979,20.6
France,1980,20.1
France,1981,19.5
France,1982,19.4
France,1983,18.8
France,1984,17.9
France,1985,17.6
France,1986,17.1
France,1987,16.8
France,1988,16.8
France,1989,17
France,1990,15.4
France,1991,15.4
France,1992,15.4
France,1993,14.7
France,1994,14.6
France,1995,14.5
France,1996,14.5
France,1997,14.3
France,1998,14.5
France,1999,14.4
France,2000,13.9
France,2001,14.1
France,2002,13.9
France,2003,13.4
France,2004,13.1
France,2005,12.9
France,2006,13.1
France,2007,12.9
France,2008,12.5
France,2009,12.6
France,2010,12.3
France,2011,12.4
France,2012,12.2
France,2013,11.6
France,2014,12
France,2015,11.9
France,2016,11.7
France,2017,11.7
France,2018,11.6
France,2019,11.4
France,2020,10.4
France,2021,10.5
Germany,1961,11
Germany,1962,12.1
Germany,1963,12.9
Germany,1964,13.7
Germany,1965,14
Germany,1966,13.6
Germany,1967,13.5
Germany,1968,14
Germany,1969,15
Germany,1970,15.5
Germany,1971,16.5
Germany,1972,16.3
Germany,1973,16.7
Germany,1974,15.9
Germany,1975,16.8
Germany,1976,17.2
Germany,1977,16.4
Germany,1978,16.3
Germany,1979,16.7
