LOCATION,VALUE
Australia,9.8
Austria,13.4
Belgium,11.0
Canada,7.4
Czech Republic,11.5
Denmark,12.7
Finland,8.3
France,14.5
Germany,13.4
Greece,10.1
Hungary,12.2
Iceland,4.7
Ireland,11.5
Italy,9.6
Japan,8.9
South Korea,8.9
Luxembourg,13.7
Mexico,5.1
Netherlands,9.8
New Zealand,9.3
Norway,4.8
Poland,8.1
Portugal,12.8
Slovakia,10.3
Spain,11.0
Sweden,6.2
Switzerland,11.4
Turkey,1.7
United Kingdom,9.3
United States of America,8.1
Brazil,5.9
Chile,8.3
China,4.7
Estonia,8.3
India,1.8
Indonesia,0.1
Israel,1.5
Russia,21.0
Slovenia,13.4
South Africa,9.0
Colombia,7.0
Latvia,9.1
Lithuania,7.9
Costa Rica,5.9
Argentina,10.1
Bulgaria,9.5
Croatia,10.9
Peru,5.2
Romania,8.2
