Country Name,Year,Life Ladder,Rank
Denmark,2005,8.01893425,1
Netherlands,2005,7.463979244,2
Sweden,2005,7.376315594,3
Belgium,2005,7.262290478,4
Spain,2005,7.152785778,5
France,2005,7.093392849,6
United Kingdom,2005,6.983556747,7
Italy,2005,6.853783607,8
Germany,2005,6.619549751,9
Czechia,2005,6.439256668,10
Greece,2005,6.006309986,11
Poland,2005,5.587209225,12
Hungary,2005,5.193933487,13
Romania,2005,5.048648357,14
Finland,2006,7.672449112,1
Switzerland,2006,7.473252773,2
Norway,2006,7.415682316,3
Ireland,2006,7.144246578,4
Austria,2006,7.122211456,5
France,2006,6.582700253,6
Lithuania,2006,5.954442978,7
Slovenia,2006,5.811264515,8
Belarus,2006,5.657649994,9
Portugal,2006,5.405246258,10
Estonia,2006,5.371054649,11
Slovakia,2006,5.264676571,12
Moldova,2006,5.102071285,13
Ukraine,2006,4.803954124,14
Latvia,2006,4.70950222,15
Denmark,2007,7.834233284,1
Netherlands,2007,7.451879501,2
Sweden,2007,7.241362572,3
Belgium,2007,7.218839645,4
Spain,2007,6.994614601,5
United Kingdom,2007,6.801930904,6
Greece,2007,6.646961212,7
Italy,2007,6.574412346,8
Czechia,2007,6.500194073,9
Germany,2007,6.416819572,10
Poland,2007,5.886137486,11
Croatia,2007,5.820907593,12
Lithuania,2007,5.80828476,13
Belarus,2007,5.616976261,14
Romania,2007,5.393723965,15
Estonia,2007,5.332044125,16
Ukraine,2007,5.25218153,17
Montenegro,2007,5.196315289,18
Hungary,2007,4.953917027,19
Bosnia and Herzegovina,2007,4.899806976,20
Moldova,2007,4.774918079,21
Latvia,2007,4.666971684,22
Albania,2007,4.634251595,23
North Macedonia,2007,4.493598461,24
Bulgaria,2007,3.843797922,25
Denmark,2008,7.970891953,1
Finland,2008,7.67062664,2
Norway,2008,7.632287502,3
Netherlands,2008,7.631011963,4
Ireland,2008,7.568029881,5
Sweden,2008,7.51599741,6
Spain,2008,7.294472694,7
Austria,2008,7.180953979,8
Belgium,2008,7.116590977,9
France,2008,7.008064747,10
United Kingdom,2008,6.986463547,11
Iceland,2008,6.888284206,12
Italy,2008,6.779774189,13
Germany,2008,6.521790028,14
Portugal,2008,5.716966629,15
Lithuania,2008,5.553925991,16
Moldova,2008,5.502756119,17
Belarus,2008,5.463332176,18
Estonia,2008,5.451937675,19
Ukraine,2008,5.172380447,20
Latvia,2008,5.145375252,21
Denmark,2009,7.683358669,1
Switzerland,2009,7.524520874,2
Sweden,2009,7.265977383,3
Ireland,2009,7.045911312,4
Luxembourg,2009,6.957920074,5
United Kingdom,2009,6.90654707,6
Germany,2009,6.64149332,7
Italy,2009,6.333800316,8
France,2009,6.283498287,9
Spain,2009,6.198601246,10
Greece,2009,6.038574696,11
Slovenia,2009,5.830160618,12
Poland,2009,5.772027493,13
Belarus,2009,5.56413126,14
Moldova,2009,5.554374218,15
Albania,2009,5.485469818,16
Lithuania,2009,5.466920853,17
Croatia,2009,5.433319569,18
Romania,2009,5.367565155,19
Ukraine,2009,5.1656394,20
Estonia,2009,5.137738705,21
Bosnia and Herzegovina,2009,4.963477135,22
Hungary,2009,4.894600391,23
Montenegro,2009,4.8010602,24
Latvia,2009,4.668910503,25
North Macedonia,2009,4.428021908,26
Denmark,2010,7.770515442,1
Netherlands,2010,7.501875877,2
Sweden,2010,7.496018887,3
Finland,2010,7.393264294,4
Austria,2010,7.302678585,5
Ireland,2010,7.257389545,6
Luxembourg,2010,7.097251892,7
United Kingdom,2010,7.029364109,8
Belgium,2010,6.853514194,9
France,2010,6.797901154,10
Germany,2010,6.724531174,11
Italy,2010,6.354238033,12
Czechia,2010,6.249617577,13
Spain,2010,6.188262463,14
Slovenia,2010,6.082555294,15
Slovakia,2010,6.052223206,16
Poland,2010,5.887029648,17
Greece,2010,5.839558601,18
Croatia,2010,5.595575333,19
Moldova,2010,5.589736462,20
Belarus,2010,5.525923252,21
Montenegro,2010,5.455030441,22
Albania,2010,5.268936634,23
Portugal,2010,5.094525814,24
Lithuania,2010,5.065824986,25
Ukraine,2010,5.057561398,26
Romania,2010,4.909165859,27
Hungary,2010,4.725132465,28
Bosnia and Herzegovina,2010,4.66851759,29
North Macedonia,2010,4.180202007,30
Bulgaria,2010,3.912276268,31
Denmark,2011,7.78823185,1
Netherlands,2011,7.563797951,2
Austria,2011,7.470512867,3
Sweden,2011,7.382232189,4
Finland,2011,7.354225159,5
Belgium,2011,7.111363888,6
Luxembourg,2011,7.101400375,7
Ireland,2011,7.006904125,8
France,2011,6.959185123,9
United Kingdom,2011,6.869248867,10
Germany,2011,6.621312141,11
Spain,2011,6.518249035,12
Czechia,2011,6.331490993,13
Italy,2011,6.057086468,14
Slovenia,2011,6.035964012,15
Slovakia,2011,5.945048332,16
Albania,2011,5.867421627,17
Moldova,2011,5.792262554,18
Poland,2011,5.646204948,19
Estonia,2011,5.486819744,20
Lithuania,2011,5.43243742,21
Croatia,2011,5.385372639,22
Greece,2011,5.372039795,23
Belarus,2011,5.225307941,24
Montenegro,2011,5.223116875,25
Portugal,2011,5.219997883,26
Ukraine,2011,5.083132744,27
Romania,2011,5.02275753,28
Bosnia and Herzegovina,2011,4.994670868,29
Latvia,2011,4.966811657,30
Hungary,2011,4.917602539,31
North Macedonia,2011,4.898180008,32
Bulgaria,2011,3.875382423,33
Switzerland,2012,7.776208878,1
Norway,2012,7.678277016,2
Iceland,2012,7.590660095,3
Sweden,2012,7.560147762,4
Denmark,2012,7.519909382,5
Netherlands,2012,7.470715523,6
Finland,2012,7.420209408,7
Austria,2012,7.400688648,8
Ireland,2012,6.964645386,9
Luxembourg,2012,6.964097023,10
Belgium,2012,6.935122013,11
United Kingdom,2012,6.880784035,12
Germany,2012,6.702362061,13
France,2012,6.649365425,14
Czechia,2012,6.334149361,15
Spain,2012,6.290690422,16
Slovenia,2012,6.062891006,17
Croatia,2012,6.027634621,18
Moldova,2012,5.995712757,19
Slovakia,2012,5.91105938,20
Poland,2012,5.87593174,21
Italy,2012,5.839313984,22
Lithuania,2012,5.771037102,23
Belarus,2012,5.749043465,24
Albania,2012,5.510124207,25
Estonia,2012,5.363927841,26
Montenegro,2012,5.218724251,27
Romania,2012,5.166874886,28
Latvia,2012,5.125025272,29
Greece,2012,5.096354008,30
Ukraine,2012,5.030342102,31
Portugal,2012,4.993962288,32
Bosnia and Herzegovina,2012,4.773144722,33
Hungary,2012,4.683358192,34
North Macedonia,2012,4.639647484,35
Bulgaria,2012,4.222297192,36
Denmark,2013,7.588606834,1
Iceland,2013,7.501394272,2
Austria,2013,7.498802662,3
Finland,2013,7.444635868,4
Sweden,2013,7.434010506,5
Netherlands,2013,7.406550407,6
Luxembourg,2013,7.130809307,7
Belgium,2013,7.10366106,8
Germany,2013,6.965125084,9
United Kingdom,2013,6.918055058,10
Ireland,2013,6.760085106,11
Czechia,2013,6.697655678,12
France,2013,6.66712141,13
Spain,2013,6.150027275,14
Italy,2013,6.009373665,15
Slovenia,2013,5.974888802,16
